-104,-45,-897,1,1562953562413
-93,-32,-884,2,1562953562457
-97,-28,-865,3,1562953562463
-100,-25,-897,4,1562953562467
-80,-23,-889,5,1562953562472
-80,-15,-893,6,1562953562477
-81,-25,-890,7,1562953562481
-93,-26,-901,8,1562953562515
-93,-26,-901,9,1562953562521
-89,-24,-900,10,1562953562523
-84,-25,-895,11,1562953562525
-89,-25,-881,12,1562953562527
-89,-24,-881,13,1562953562529
-88,-30,-889,14,1562953562531
-80,-23,-889,15,1562953562535
-73,-24,-896,16,1562953562537
-88,-26,-888,17,1562953562540
-88,-24,-893,18,1562953562543
-89,-26,-882,19,1562953562545
-85,-24,-897,20,1562953562549
-82,-25,-880,21,1562953562553
-82,-25,-880,22,1562953562564
-87,-20,-887,23,1562953562573
-82,-23,-888,24,1562953562582
-84,-26,-877,25,1562953562599
-82,-25,-893,26,1562953562604
-95,-21,-906,27,1562953562609
-84,-25,-903,28,1562953562620
-86,-20,-881,29,1562953562631
-87,-23,-900,30,1562953562639
-84,-29,-913,31,1562953562649
-89,-10,-881,32,1562953562659
-88,-20,-897,33,1562953562670
-82,-21,-909,34,1562953562679
-89,-29,-893,35,1562953562689
-89,-29,-893,36,1562953562699
-93,-32,-893,37,1562953562709
-98,-20,-881,38,1562953562720
-98,-25,-889,39,1562953562742
-84,-25,-890,40,1562953562746
-87,-29,-889,41,1562953562750
-88,-26,-893,42,1562953562760
-95,-20,-888,43,1562953562770
-80,-26,-880,44,1562953562780
-88,-21,-884,45,1562953562790
-95,-25,-897,46,1562953562807
-85,-25,-895,47,1562953562812
-90,-25,-906,48,1562953562821
-89,-25,-914,49,1562953562830
-89,-25,-914,50,1562953562841
-92,-29,-882,51,1562953562850
-84,-36,-873,52,1562953562860
-80,-28,-889,53,1562953562870
-95,-25,-899,54,1562953562880
-89,-25,-880,55,1562953562890
-84,-29,-893,56,1562953562900
-90,-17,-899,57,1562953562910
-88,-20,-900,58,1562953562920
-95,-23,-909,59,1562953562931
-88,-21,-916,60,1562953562942
-82,-20,-909,61,1562953562950
-77,-25,-904,62,1562953562960
-77,-25,-904,63,1562953562970
-89,-26,-898,64,1562953562980
-84,-25,-890,65,1562953562990
-88,-26,-881,66,1562953563004
-87,-24,-873,67,1562953563011
-89,-25,-898,68,1562953563020
-80,-25,-904,69,1562953563030
-84,-29,-885,70,1562953563041
-85,-29,-885,71,1562953563050
-90,-16,-893,72,1562953563060
-90,-16,-885,73,1562953563071
-97,-23,-881,74,1562953563080
-89,-20,-889,75,1562953563090
-89,-20,-889,76,1562953563100
-77,-23,-884,77,1562953563110
-89,-21,-884,78,1562953563120
-82,-20,-897,79,1562953563130
-82,-24,-897,80,1562953563143
-88,-25,-887,81,1562953563150
-87,-25,-904,82,1562953563160
-88,-24,-900,83,1562953563170
-84,-23,-893,84,1562953563180
-84,-23,-893,85,1562953563190
-81,-29,-900,86,1562953563200
-79,-28,-897,87,1562953563218
-85,-32,-890,88,1562953563224
-85,-32,-890,89,1562953563230
-84,-18,-909,90,1562953563245
-80,-17,-897,91,1562953563253
-77,-20,-889,92,1562953563261
-81,-31,-895,93,1562953563270
-84,-25,-890,94,1562953563280
-97,-21,-889,95,1562953563290
-92,-26,-898,96,1562953563300
-84,-24,-897,97,1562953563310
-87,-29,-906,98,1562953563320
-84,-31,-897,99,1562953563330
-93,-25,-897,100,1562953563340
